source,target
Abstract expressionism,Pre-Raphaelite Brotherhood
Age of Enlightenment,Post-Keynesian economics
Ancients (art group),Ann Radcliffe
Alphabet,Beta (letter)
2022 Russian invasion of Ukraine,Be Brave Like Ukraine
Age of Enlightenment,Organization of American States
Ancient Celtic religion,Magico-religious
Alphabet,Demotic (Egyptian)
"2,500-year celebration of the Persian Empire",Chronological dating
ANZUS,Chicago Tribune
Ancient Greek art,Heliaia
Ancient Greek art,List of ancient Greek lawgivers
African historiography,Change and continuity
Ages of Man,Golden apple
Ages of Man,Aryan Kartli
American English,Banking in the United States
Ancient Greece,Prostitution in ancient Greece
African diaspora,Costa Rica
Analysis of European colonialism and colonization,List of periods of regional peace
Ancient Rome,Ligurian Republic
Aestheticism,Great Exhibition of 1851
Age of Revolution,Organization for Security and Co-operation in Europe
Anthropology,Alan H. Goodman
Anglo-Saxon paganism,Thor
AUSCANNZUKUS,The United States of America v Nolan
Alps,Cenozoic
Absolute monarchy,Revolutions of 1848
Afterlife,Eternal sin
Alphabet,Hindi
Aestheticism,The Caribbean Artists Movement
Age of Discovery,Frankish mythology
Albigensian Crusade,"Domme, Dordogne"
Action painting,Interactive art
Anthropology,History of the social sciences
Age of Enlightenment,Origins of the Six-Day War
Ancient Greek philosophy,Panta rhei (Heraclitus)
African historiography,Anthony Atmore
Analysis of European colonialism and colonization,Historical fiction
Ancient Greek,Regions of ancient Greece
African-American history,Michael Eric Dyson
Amazonian pop art,Louis XV style
Anthropology,Medical anthropology
AUSCANNZUKUS,Canada Act 1982
Abolitionism,Joseph Pitts (author)
Abstract art,Renaissance
Afterlife,Christological argument
African historiography,Samuel Johnson (Nigerian historian)
American English,Disability in the United States
Adam style,History of Birmingham
ANZUS,Bandung Conference
Amerigo Vespucci,Smithsonian (magazine)
2022 Russian invasion of Ukraine,Disinformation in the Russian invasion of Ukraine
Ancient Greek art,Capriccio (art)
Afrofuturism,Mothership Connection
Age of Discovery,Wissenschaft des Judentums
Anthropology,Hypertext
American English,Cabinet of the United States
1948 Palestine war,Operation Grapes of Wrath
Nahda,Mamluk Sultanate
Aestheticism,Thomas J. Barratt
African-American history,History of Iranian Americans
Nahda,Romanization of Arabic
Abstract expressionism,Dylan Thomas
Age of Discovery,Army of Flanders
Abstract expressionism,Stroganov school
Ancient Greek,Ostracism
American Figurative Expressionism,Video art
Ages of Man,Dionysiaca
20th-century Western painting,Printmaker
Anglosphere,AUKUS
Antarctica,Franklin's lost expedition
Analytic philosophy,Bhedabheda
Abrahamic religions,Irish mythology
20th-century Western painting,The New Yorker
Ancestral civilisation,Historiography of Juan Manuel de Rosas
Afterlife,Armageddon
Nahda,Eber-Nari
African diaspora,Indigenous Black Canadians
Aegean art,Fairy painting
African historiography,Origins of the Cold War
American realism,Realism (arts)
Afrofuturism,Black Lives Matter
Analysis of European colonialism and colonization,Historiography of Adolf Hitler
Aftermath of the Winter War,Ongoing Nakba
African-American history,Bamber Bridge
African historiography,"2,500-year celebration of the Persian Empire"
1948 Palestine war,August Agreements
Ancient Rome,Pack animal
African-American history,French and Indian War
Ancien régime,Roman Catholic Church
Nahda,Nile
Academic art,Art in Poland
African historiography,Industrial Revolution
Alps,Languages of Italy
Age of Discovery,History of Morocco
Annals,Holodomor in modern politics
Analytic philosophy,Portmanteau
Abrahamic religions,Wm. B. Eerdmans
African diaspora,Abreha
Anglo-Saxon paganism,Religion
Abolitionism,James A. Morone
Africanfuturism,Simulated reality
Alphabet,Veso Bey alphabet
Ancient Greek,Hipponax
Academic art,Greek art
Ancient Greece,Locris
Abstract expressionism,Bauhaus
Absolute monarchy,Napoleonic Wars
Ancient Greek art,Federation
Ancient Roman philosophy,JSTOR (identifier)
Academic art,Tony Robert-Fleury
Action painting,Iberian sculpture
Amin al-Husseini,American Jewish Congress
Academic art,Cologne Progressives
Ancien régime,Patrice de MacMahon
AUSCANNZUKUS,AC-2
Ancient Rome,Laodicea in Syria
Ancient Rome,Shahba
Abstract expressionism,List of state chief justices
Anti-Normanism,Batavi (Germanic tribe)
2022 Russian invasion of Ukraine,2014 Russian sabotage activities in Ukraine
Afrofuturism,Streamline Moderne
"""Polish death camp"" controversy",Haaretz
Al-Andalus,Muhammad
Ancient art,New York Figurative Expressionism
Afrofuturism,Mecha anime and manga
Age of Discovery,Assyria
AUSCANNZUKUS,The Queen in Australia
Abrahamic religions,Indus Valley Civilisation
AUSCANNZUKUS,Financial Times
Age of Discovery,Federated States of Micronesia
Abstract expressionism,Henryk Górecki
Abstract expressionism,Pierre Emmanuel
Aestheticism,Art as Experience
Ancien régime,Karl Mack von Leiberich
Annals,Legendary Saracen in France
20th-century Western painting,Fernand Léger
Abrahamic religions,Midewiwin
1948 Palestine war,Sino-Vietnamese War
Amin al-Husseini,France
Ancient Celtic religion,Sub-Roman Britain
AUKUS,Slavic paganism
Absolute monarchy,Pinochetism
Andreas Vesalius,Erasistratus
Alps,Rhododendron ferrugineum
1948 Palestine war,Malha
Al-Andalus,Acequia
Alps,Palaeolithic
Ancient Greece,First Peloponnesian War
1948 Palestine war,2014 Gaza War
African-American history,History of Oklahoma
Anglo-Saxon art,Tiberius Psalter
Africanfuturism,The Prey of Gods
Andreas Vesalius,Appendix (human)
Ancient Greece,Battle of Mantinea (418 BC)
1948 Palestine war,15 August 1975 Bangladeshi coup d'état
Abrahamic religions,Religion in Malawi
Age of Discovery,French Ivory Coast
Anglo-Portuguese Alliance,Oil
Annales school,Catholic theology
Antarctica,Fox (ship)
Anglo-Saxon paganism,Dacian mythology
Annales school,Maritime history
Academic art,Munich Secession
Abel Tasman,Cikobia-i-Lau
Aesthetics,Guo Xi
African diaspora,Afro-Guyanese
Nahda,Conscription in Egypt
African-American history,African Americans in Oregon
Age of Discovery,Influence and reception of Friedrich Nietzsche
1948 Palestine war,Ein al-Zeitun
Ancient Greek philosophy,Posthumanism
African-American history,Redbone (ethnicity)
Africanfuturism,List of fictional spacecraft
African-American history,Korean War
Age of Discovery,Hittites
Age of Enlightenment,Petru Maior
Antarctica,Antarctica
Ancient Celtic religion,Theories about religion
Anglo-Saxon paganism,Religion in Scotland
Aestheticism,Harvard Aesthetes
Analysis of European colonialism and colonization,Soviet famine of 1930–1933
Al-Andalus,Hugh Chisholm
Aegean art,Roman Republican art
Ancient Greece,Nicias
AUKUS,The Guardian
1948 Palestine war,Yaakov Dori
Absolute monarchy,Absolutism (European history)
Alphabet,International Phonetic Alphabet
Antarctica,Arctic sea ice
Age of Enlightenment,Knowledge of the Holocaust in Nazi Germany and German-occupied Europe
Age of Revolution,G7
Anglo-Japanese style,Ishibashi Kazunori
Ancien régime,"François Alexandre Frédéric, duc de la Rochefoucauld-Liancourt"
Annals,Sciences
"2,500-year celebration of the Persian Empire",Jim Fouché
African historiography,Seychelles
Ancient Celtic religion,Religion in Niger
Absolute monarchy,Monarchism in Serbia
Ancient Greek philosophy,Ammonius Saccas
African-American art,Aaron Douglas (artist)
Abstract art,Hard-edge
Antarctica,Petrel
Agnosticism,ISBN (identifier)
Absolute monarchy,Third Position
Age of Discovery,Battle of Trafalgar
AUSCANNZUKUS,Mosquito Coast
Al-Andalus,Treaty of Utrecht
Ancient Rome,Batnae
Anthropology,Biochemistry
Aesthetics,Aesthetic taste
Anglo-Japanese style,Siegfried Bing
Anthropology,American anthropology
Abstract expressionism,Curator
Ancient Rome,Judicate of Arborea
Ancient Greek art,Interactive art
Ancient Rome,Western Christianity
Agnosticism,Mirza Ghulam Ahmad
Abstract expressionism,Alfred L. Copley
Alltagsgeschichte,Historiology
1948 Palestine war,Corrective Revolution (Syria)
Ancient Celtic religion,Culture of the Isle of Man
"""Polish death camp"" controversy",The Jerusalem Post
Ancient Roman philosophy,Meditation
African-American art,African Americans in Virginia
1948 Palestine war,Iran–Israel war
African-American history,History of Florida
Afterlife,18th Dynasty
Aftermath of the Falklands War,HMS Arrow (F173)
Age of Discovery,Governorate of Cuba
Ancient Greek,Kepoi
Ancient art,Metcalf Chateau
Albrecht Dürer,Burin (engraving)
Abstract expressionism,Charles Egan Gallery
African diaspora,National Institute of Statistics and Census of Argentina
Age of Enlightenment,Inclusive capitalism
Nahda,Ayyubid Syria
Ancient art,COBRA (art movement)
Abrahamic religions,Laity
Altermodern,Roger Scruton
Anglo-Saxon art,Amazonian pop art
African historiography,Spirit of the Winter War
Afrofuturism,Normans
Ancient Greece,Outline of ancient Greece
Age of Discovery,Toleration
Anthropology,Enzyme
Ancient Celtic religion,Gauls
Age of Discovery,Battle of Vila Franca do Campo
Aestheticism,Advertising
Aesthetics,Moral character
African diaspora,African immigration to Israel
Ancient Greek,Diaeresis (diacritic)
1948 Palestine war,Russian Empire
AUSCANNZUKUS,United Nations Security Council Resolution 135
Ancient Greek,Germany
Anti-Normanism,Tubantes
American English,Dark L
Action painting,Flemish Baroque painting
Anglo-Saxon paganism,Ute mythology
Afrofuturism,Neo-Grec
Accounting,Continuous professional development
African-American art,Baseball color line
Ancient Greek,Koine Greek grammar
Abrahamic religions,Michael (archangel)
Analytic philosophy,Intentionality
Ancient Greece,Western world
Ancien régime,Tournai
Ancient art,History of cartography
Age of Discovery,Hieroglyph
Anti-Normanism,Runic inscriptions
Afrofuturism,Hellenistic art
Afterlife,The Catholic University of America Press
Ancien régime,Fête de la Fédération
ANZUS,Min Ping Yu No. 5540 incident
Age of Discovery,João Gonçalves Zarco
Ancient Greek philosophy,Arab transmission of the Classics to the West
Ancien régime,Georges Ernest Boulanger
Annals,Reception history of Jane Austen
Aesthetics,Lila (Hinduism)
Age of Discovery,Absolute monarchy in France
Ancient Greek philosophy,Eris (mythology)
Absolute monarchy,Forms of government
Age of Discovery,Alexander Nevsky
American English,Coahuilteco language
Ancient Celtic religion,Music of Wales
African diaspora,Underground Railroad
Academic art,William Powell Frith
1948 Palestine war,Battle of Haifa (1948)
Aesthetics,Ecological
African historiography,Cultures
American English,American Dream
Amin al-Husseini,Qibla
Ancien régime,Carrefour de l'Horloge
Nahda,Canaan
Ancien régime,Battle of Calliano
Anthropology,Reza Negarestani
Age of Discovery,Space exploration
Afrofuturism,Art & Language
AUSCANNZUKUS,New Zealand Constitution Amendment (Request and Consent) Act 1947
Afterlife,Ernst Troeltsch
Ancient art,Danube school
"2,500-year celebration of the Persian Empire",Bulgarian historiography
Abstract expressionism,Korean War
African historiography,Myth
Ancient Greek art,Epidaurum
Afrofuturism,Caravaggisti
Africanfuturism,Aesthetic
Anthropology,Legal history
Alphabet,Canadian Aboriginal syllabics
African historiography,Pope Pius XII and the Holocaust
Aestheticism,Hypermodernism (art)
AUKUS,Chinese Communist Party
African-American history,Joseph E. Boone
AUKUS,Chesapeake–Leopard affair
Ages of Man,Gargareans
Alps,Alpheus (deity)
Analytic philosophy,Greek alphabet
Ancient Greek art,Iberian sculpture
"""Polish death camp"" controversy",Treblinka extermination camp
Age of Enlightenment,Robert Hooke
Age of Enlightenment,Laissez-faire capitalism
American English,Learning English (version of English)
Ancien régime,List of French mountains by prominence
Ages of Man,Ancient Greek funeral and burial practices
Anglo-Saxon paganism,Animal worship
Alphabet,Caucasian Albanian script
Annals,Modernisation theory
Abstract expressionism,Vienna Secession
Agnosticism,Brazilian Association of Atheists and Agnostics
Ancient Celtic religion,Melanesian mythology
Ancient Greek art,Modern Greek architecture
20th-century Western painting,John Hoyland
Age of Discovery,French protectorate in Morocco
African-American art,Mary Beth Edelson
Action painting,Impressionism
Afterlife,Theological hermeneutics
Age of Enlightenment,José Ortega y Gasset
"2,500-year celebration of the Persian Empire",Naqsh-e Rostam
African-American history,Civil Rights Memorial
African-American history,Harriet Tubman
Anglo-Saxon paganism,Edict of Thessalonica
African-American art,Black conservatism
Afterlife,21 Grams
Ancient Greek,Graeco-Armenian
Aftermath of the Falklands War,The Living Daylights
Alphabet,Bassa Vah script
Ancient Celtic religion,Miranda Aldhouse-Green
Abrahamic religions,Ummah
Abstract expressionism,Temporary art
African-American art,Rome
Analytic philosophy,Yoga Sutras of Patanjali
Ages of Man,Kleos
Africanfuturism,Birth control in Africa
Ancient art,Pointillism
Ancient Greek,Terina (ancient city)
Age of Enlightenment,Western dress codes
Aegean art,Kitsch movement
Analysis of European colonialism and colonization,Arbitrary arrest and detention
Anatomy,Species discovery curve
Anglo-Portuguese Alliance,Cochin
Aestheticism,Ideasthesia
African historiography,Social scientists
Analysis of European colonialism and colonization,Government of the United Kingdom
Abolitionism,ABCANZ Armies
Abstract expressionism,Hermann Hesse
Age of Enlightenment,Periodization
Agnosticism,Scottish Enlightenment
Alps,Il Canto degli Italiani
Alessandro Farnese (cardinal),Annibale Bozzuti
Academic art,Baltimore
African-American art,Camille Billops
Abolitionism,Manumission Intelligencier
Anglo-Saxon paganism,Punic religion
Age of Discovery,Historiography in the Soviet Union
Ancient Rome,Constans II (son of Constantine III)
Anglosphere,History of Australia (1901–1945)
Anthropology,Nympholepsy
Absolute monarchy,Pacifism
Ancestral civilisation,Habsburg myth
Abrahamic religions,Din-i Ilahi
American English,List of companies of the United States by state
Afrofuturism,Guild of Romanists
Absolute monarchy,List of rulers of Oman
Anglo-Saxon art,Land art
Alltagsgeschichte,Reichstag inquiry into guilt for World War I
AUKUS,Anglo-Australian Telescope
Analysis of European colonialism and colonization,Cliometrics
Alphabet,Romanian Braille
Amin al-Husseini,Tahir al-Abd al-Samad
A. L. Rowse,Royal Historical Society
Accounting,Chartered accountant
American English,Northern United States
Ancient Greece,Battle of Delium
ANZUS,Dissolution of the Soviet Union
